iterations,fitness,time,fevals
0,20.0,0.000781608999999,654
10,22.0,0.001494033,1242
20,23.0,0.002073804,1829
30,25.0,0.00263367,2413
40,27.0,0.003291617,2992
50,26.0,0.003880918,3580
60,26.0,0.004409956,4143
70,32.0,0.00491516,4706
80,29.0,0.005486505,5285
90,30.0,0.006069564,5865
100,31.0,0.006664906,6455
110,31.0,0.007354168,7036
120,36.0,0.007997645,7612
130,35.0,0.008717782,8191
140,36.0,0.009273821,8778
150,35.0,0.009716774,9357
160,35.0,0.010378499,9952
170,39.0,0.011056107,10529
180,39.0,0.011568439,11121
190,40.0,0.012282949,11692
200,40.0,0.013116551,12268
210,41.0,0.013766544,12839
220,41.0,0.014421915,13416
230,41.0,0.014921302,14000
240,41.0,0.01540814,14574
250,41.0,0.015895525,15150
260,44.0,0.016398438,15730
270,54.0,0.016987939,16300
280,47.0,0.017515426,16873
290,47.0,0.018126716,17448
300,54.0,0.018612615,18025
310,55.0,0.019151745,18616
320,56.0,0.019651374,19194
330,56.0,0.020129311,19774
340,56.0,0.020793018,20355
350,56.0,0.021328343,20932
360,56.0,0.021789307,21506
370,55.0,0.02227165,22079
380,55.0,0.022726694,22661
390,55.0,0.023289388,23232
400,57.0,0.023841249,23804
410,56.0,0.024344017,24381
420,57.0,0.024805639,24955
430,56.0,0.025315248,25542
440,55.0,0.025826408,26111
450,57.0,0.026341367,26688
460,54.0,0.026880124,27252
470,54.0,0.027335642,27836
480,54.0,0.027908184,28427
490,54.0,0.02842682,29010
500,54.0,0.028958061,29577
510,53.0,0.029474755,30156
520,56.0,0.029948771,30735
530,57.0,0.030548589,31303
540,58.0,0.031069652,31888
550,58.0,0.031548795,32481
560,58.0,0.032048189,33067
570,59.0,0.032576315,33651
580,59.0,0.033252734,34227
590,59.0,0.033872125,34805
600,60.0,0.034429178,35383
610,60.0,0.035002379,35963
620,61.0,0.0355733,36528
630,61.0,0.036090379,37098
640,59.0,0.036616431,37675
650,60.0,0.037126772,38261
660,57.0,0.037635489,38832
670,57.0,0.038093104,39420
680,58.0,0.038610289,40000
690,57.0,0.039163505,40582
700,58.0,0.03964936,41154
710,58.0,0.040129723,41736
720,59.0,0.040608749,42311
730,59.0,0.041128243,42882
740,59.0,0.041692737,43450
750,59.0,0.042248719,44015
760,59.0,0.042738501,44590
770,59.0,0.043202376,45165
780,60.0,0.043683647,45733
790,60.0,0.044177778,46312
800,61.0,0.044719793,46892
810,61.0,0.04522814,47471
820,60.0,0.045666882,48036
830,61.0,0.046163234,48614
840,61.0,0.046643433,49185
850,61.0,0.047246174,49773
860,61.0,0.047787694,50352
870,60.0,0.048275143,50939
880,61.0,0.048853669,51506
890,62.0,0.04949155,52090
900,62.0,0.050059925,52673
910,63.0,0.050541699,53248
920,63.0,0.051047269,53830
930,63.0,0.05152399,54397
940,62.0,0.051999907,54974
950,60.0,0.052604408,55568
960,61.0,0.053097685,56134
970,61.0,0.053597131,56719
980,61.0,0.0540446,57282
990,61.0,0.054585291,57857
1000,61.0,0.055040161,58411
1010,60.0,0.055562889,58983
1020,61.0,0.05603905,59569
1030,62.0,0.056532037,60149
1040,62.0,0.057087265,60737
1050,62.0,0.057594861,61322
1060,64.0,0.058096323,61907
1070,62.0,0.058586039,62503
1080,62.0,0.05909211,63081
1090,64.0,0.059670611,63641
1100,64.0,0.060161787,64224
1110,65.0,0.06065432,64805
1120,64.0,0.061161216,65399
1130,63.0,0.061663882,65982
1140,63.0,0.062238249,66551
1150,63.0,0.062678607,67114
1160,63.0,0.063128125,67685
1170,63.0,0.063660818,68264
1180,63.0,0.06412848,68837
1190,63.0,0.064706459,69407
1200,64.0,0.065250576,69980
1210,65.0,0.065781807,70558
1220,66.0,0.066329163,71129
1230,68.0,0.066844077,71696
1240,67.0,0.06747994,72269
1250,67.0,0.068002528,72850
1260,66.0,0.06849641,73424
1270,68.0,0.068999863,74008
1280,68.0,0.069520695,74589
1290,66.0,0.070104645,75165
1300,67.0,0.070741193,75744
1310,66.0,0.071275687,76303
1320,65.0,0.071780356,76872
1330,64.0,0.072307909,77451
1340,64.0,0.072853247,78005
1350,64.0,0.073480726,78561
1360,72.0,0.074108883,79121
1370,72.0,0.074672427,79711
1380,72.0,0.075187855,80304
1390,72.0,0.075755752,80893
1400,72.0,0.07638581,81460
1410,72.0,0.076944831,82061
1420,74.0,0.077450694,82639
1430,74.0,0.077971807,83230
1440,74.0,0.078603072,83821
1450,74.0,0.079243898,84398
1460,74.0,0.079947818,84975
1470,74.0,0.080444329,85563
1480,76.0,0.080946433,86142
1490,76.0,0.081460974,86714
1500,76.0,0.08199853,87275
1510,78.0,0.082435114,87835
1520,78.0,0.082858095,88408
1530,77.0,0.083269588,88976
1540,76.0,0.083761407,89556
1550,78.0,0.084234043,90148
1560,78.0,0.084787779,90734
1570,78.0,0.085285482,91310
1580,78.0,0.085751353,91872
1590,80.0,0.086194822,92437
1600,78.0,0.086591226,92992
1610,78.0,0.087122961,93572
1620,78.0,0.087672617,94146
1630,73.0,0.088162153,94714
1640,74.0,0.088587326,95279
1650,73.0,0.089192966,95863
1660,73.0,0.089668938,96446
1670,74.0,0.090146274,97028
1680,73.0,0.090648668,97607
1690,78.0,0.091103998,98178
1700,78.0,0.091507729,98742
1710,82.0,0.092035189,99321
1720,82.0,0.092528837,99904
1730,82.0,0.093032395,100486
1740,87.0,0.093608746,101055
1750,87.0,0.094164538,101634
1760,88.0,0.094802491,102195
1770,88.0,0.095349679,102764
1780,87.0,0.095960018,103333
1790,88.0,0.096490871,103901
1800,88.0,0.096972106,104482
