iterations,fitness,time,fevals
0,23.0,0.074022908,1000
10,30.0,0.141991695,2100
20,42.0,0.204498325,3200
30,43.0,0.286380979,4300
40,41.0,0.336724237,5400
50,45.0,0.380088032,6500
60,44.0,0.42343611,7600
70,44.0,0.469352325,8700
80,46.0,0.517650586,9800
90,48.0,0.566398798,10900
100,48.0,0.619494126,12000
110,50.0,0.673845991,13100
120,51.0,0.720972739,14200
130,49.0,0.766881584,15300
140,50.0,0.809032852,16400
150,50.0,0.848891952,17500
160,52.0,0.885582893,18600
170,50.0,0.94432994,19700
180,49.0,1.006267751,20800
190,50.0,1.062851715,21900
200,48.0,1.125339219,23000
210,50.0,1.17984842,24100
220,49.0,1.224639654,25200
230,50.0,1.269712561,26300
240,49.0,1.311563204,27400
250,50.0,1.354424466,28500
260,49.0,1.395772833,29600
270,50.0,1.436918911,30700
280,50.0,1.475380171,31800
290,49.0,1.513467433,32900
300,50.0,1.551914593,34000
310,49.0,1.590118341,35100
320,49.0,1.626924091,36200
330,52.0,1.66761092,37300
340,51.0,1.70679636,38400
350,50.0,1.748455744,39500
360,52.0,1.789044722,40600
370,51.0,1.829017095,41700
380,53.0,1.870324997,42800
390,54.0,1.908074057,43900
400,52.0,1.946182899,45000
410,54.0,2.054316784,46100
420,54.0,2.108010664,47200
430,54.0,2.158744574,48300
440,54.0,2.218775165,49400
450,56.0,2.265770566,50500
460,54.0,2.312743685,51600
470,54.0,2.358844931,52700
480,53.0,2.405236985,53800
490,52.0,2.443435067,54900
500,53.0,2.481508932,56000
510,53.0,2.521310033,57100
520,55.0,2.560573564,58200
530,53.0,2.60292848,59300
540,53.0,2.641906262,60400
550,55.0,2.680457375,61500
560,53.0,2.719091566,62600
570,53.0,2.756802214,63700
580,55.0,2.797403741,64800
590,60.0,2.835272858,65900
600,53.0,2.876099211,67000
610,60.0,2.914847314,68100
620,54.0,2.955705969,69200
630,53.0,3.003491883,70300
640,56.0,3.049984237,71400
650,57.0,3.094840707,72500
660,53.0,3.13675647,73600
670,55.0,3.184122898,74700
680,55.0,3.232372694,75800
690,55.0,3.275837472,76900
700,54.0,3.312971214,78000
710,54.0,3.382553889,79100
720,55.0,3.438903676,80200
730,55.0,3.496676486,81300
740,54.0,3.560226922,82400
750,54.0,3.604796739,83500
760,57.0,3.64351239,84600
770,54.0,3.679406215,85700
780,54.0,3.716271522,86800
790,55.0,3.756324496,87900
800,54.0,3.79652229,89000
810,55.0,3.834254228,90100
820,54.0,3.87213011,91200
830,54.0,3.909134656,92300
840,61.0,3.952766857,93400
850,55.0,4.000907347,94500
860,55.0,4.039270778,95600
870,58.0,4.080660776,96700
880,56.0,4.138623058,97800
890,56.0,4.207531972,98900
900,56.0,4.279596595,100000
910,56.0,4.332153244,101100
920,56.0,4.373877177,102200
930,56.0,4.416038571,103300
940,56.0,4.453524515,104400
950,57.0,4.56565069,105500
960,59.0,4.637733755,106600
970,56.0,4.693886066,107700
980,56.0,4.752305227,108800
990,56.0,4.798336503,109900
1000,61.0,4.835871194,111000
1010,55.0,4.872382618,112100
1020,56.0,4.908874258,113200
1030,56.0,4.945723062,114300
1040,56.0,4.984472035,115400
1050,56.0,5.02164906,116500
1060,59.0,5.060299865,117600
1070,57.0,5.099418717,118700
1080,56.0,5.13792423,119800
1090,56.0,5.178227313,120900
1100,58.0,5.215002324,122000
1110,57.0,5.251538091,123100
1120,56.0,5.288188583,124200
1130,58.0,5.325123307,125300
1140,59.0,5.368884159,126400
1150,61.0,5.412679279,127500
1160,62.0,5.456881867,128600
1170,61.0,5.503219004,129700
1180,64.0,5.550590434,130800
1190,66.0,5.595989736,131900
1200,63.0,5.640851754,133000
1210,62.0,5.677902142,134100
1220,59.0,5.717309807,135200
1230,63.0,5.754541119,136300
1240,62.0,5.793596825,137400
1250,67.0,5.832742595,138500
1260,63.0,5.870273429,139600
1270,63.0,5.906008684,140700
1280,61.0,5.942731702,141800
1290,60.0,6.006106709,142900
1300,63.0,6.088725932,144000
1310,62.0,6.153721091,145100
1320,62.0,6.189721823,146200
1330,62.0,6.237272957,147300
1340,63.0,6.277908373,148400
1350,60.0,6.315504717,149500
1360,60.0,6.352336408,150600
1370,64.0,6.38848445,151700
1380,63.0,6.424994537,152800
1390,63.0,6.460971981,153900
1400,62.0,6.499624012,155000
1410,62.0,6.538283061,156100
1420,61.0,6.575517232,157200
1430,63.0,6.611799582,158300
1440,61.0,6.647644268,159400
1450,61.0,6.686380778,160500
1460,63.0,6.723729445,161600
1470,62.0,6.762262171,162700
1480,63.0,6.799798545,163800
1490,63.0,6.836913625,164900
1500,62.0,6.900797095,166000
1510,64.0,6.955262885,167100
1520,63.0,7.005458808,168200
1530,62.0,7.042714242,169300
