iterations,fitness,time,fevals
0,16.0,1.54219999999e-05,11
10,16.0,2.66999999999e-05,21
20,18.0,3.7743e-05,31
30,18.0,4.7735e-05,41
40,18.0,5.8504e-05,51
50,18.0,6.8506e-05,61
60,18.0,7.78349999999e-05,71
70,19.0,8.78609999999e-05,81
80,19.0,9.7967e-05,91
90,19.0,0.000106754,101
100,19.0,0.000115827,111
110,19.0,0.000125087,121
120,20.0,0.000134763,131
130,20.0,0.000144084,141
140,21.0,0.000153755,151
150,21.0,0.000163264,161
160,21.0,0.00017343,171
170,25.0,0.000354666,181
180,25.0,0.00037816,191
190,25.0,0.000389189,201
200,25.0,0.000401221,211
210,25.0,0.000412504,221
220,25.0,0.00042344,231
230,25.0,0.000439132,241
240,25.0,0.000447628,251
250,25.0,0.000456113,261
260,25.0,0.000464834,271
270,25.0,0.000474703,281
280,25.0,0.000483758,291
290,25.0,0.000493735,301
300,25.0,0.000520239,311
310,25.0,0.000529536,321
320,25.0,0.000544683,331
330,25.0,0.000557899,341
340,25.0,0.000568902,351
350,25.0,0.000582373,361
360,25.0,0.000604727,371
370,27.0,0.000626029,381
380,28.0,0.00063633,391
390,28.0,0.000646181,401
400,28.0,0.000655929,411
410,28.0,0.000665624,421
420,28.0,0.000676293,431
430,28.0,0.000687046,441
440,28.0,0.000696556,451
450,28.0,0.000707555,461
460,28.0,0.00071769,471
470,28.0,0.000726383,481
480,28.0,0.000737808,491
490,28.0,0.000746552,501
500,28.0,0.000755617,511
510,28.0,0.000765373,521
520,28.0,0.000775388,531
530,28.0,0.000787244,541
540,28.0,0.000795547,551
550,28.0,0.000804609,561
560,28.0,0.000813525,571
570,28.0,0.000822874,581
580,28.0,0.000834935,591
590,28.0,0.000849428,601
600,28.0,0.000858732,611
610,28.0,0.000868299,621
620,28.0,0.000877432999999,631
630,28.0,0.000887079999999,641
640,29.0,0.000895408999999,651
650,29.0,0.000903568999999,661
660,29.0,0.000922859999999,671
670,29.0,0.000938075999999,681
680,29.0,0.000952038999999,691
690,30.0,0.000976879999999,701
700,30.0,0.000992866999999,711
710,30.0,0.001003685,721
720,30.0,0.001013069,731
730,30.0,0.001023737,741
740,30.0,0.001033341,751
750,31.0,0.001042637,761
760,31.0,0.001051305,771
770,32.0,0.00106031,781
780,32.0,0.001076423,791
790,33.0,0.001085651,801
800,33.0,0.001094396,811
810,33.0,0.001115386,821
820,33.0,0.001137748,831
830,33.0,0.001146438,841
840,34.0,0.001156392,851
850,34.0,0.001166527,861
860,34.0,0.001179919,871
870,41.0,0.001189133,881
880,44.0,0.001199175,891
890,44.0,0.001209533,901
900,44.0,0.001220451,911
910,45.0,0.001230627,921
920,45.0,0.001240567,931
930,45.0,0.001250898,941
940,45.0,0.001260548,951
950,46.0,0.001270014,961
960,47.0,0.001278956,971
970,47.0,0.001340736,981
980,49.0,0.001359941,991
990,49.0,0.00137347,1001
1000,49.0,0.001383548,1011
1010,49.0,0.001395081,1021
1020,49.0,0.001404368,1031
1030,50.0,0.001415258,1041
1040,50.0,0.001425533,1051
1050,50.0,0.001434925,1061
1060,50.0,0.001443937,1071
1070,50.0,0.001452964,1081
1080,50.0,0.001463579,1091
1090,51.0,0.001472789,1101
1100,52.0,0.001483114,1111
1110,53.0,0.001493541,1121
1120,53.0,0.001504371,1131
1130,54.0,0.001514528,1141
1140,57.0,0.001523923,1151
1150,57.0,0.001533157,1161
1160,57.0,0.001542179,1171
1170,57.0,0.001550691,1181
1180,57.0,0.001560048,1191
1190,57.0,0.001569425,1201
1200,57.0,0.001587201,1211
1210,57.0,0.00161521,1221
1220,57.0,0.001642654,1231
1230,57.0,0.001662532,1241
1240,57.0,0.001674007,1251
1250,57.0,0.001691524,1261
1260,60.0,0.001700714,1271
1270,60.0,0.001709412,1281
1280,60.0,0.001718085,1291
1290,60.0,0.001726707,1301
1300,60.0,0.001735795,1311
1310,60.0,0.001744716,1321
1320,60.0,0.00175301,1331
1330,60.0,0.001761718,1341
1340,60.0,0.001769442,1351
1350,60.0,0.001777736,1361
1360,60.0,0.001786475,1371
1370,60.0,0.001795179,1381
1380,60.0,0.001803538,1391
1390,60.0,0.001812287,1401
1400,60.0,0.001821469,1411
1410,60.0,0.001830192,1421
1420,60.0,0.001840598,1431
1430,60.0,0.00185264,1441
1440,60.0,0.001862119,1451
1450,61.0,0.001871761,1461
1460,61.0,0.001880056,1471
1470,61.0,0.001888395,1481
1480,61.0,0.001897527,1491
1490,61.0,0.00190629,1501
1500,62.0,0.00191504,1511
1510,63.0,0.001925038,1521
1520,63.0,0.00193556,1531
1530,63.0,0.001979042,1541
1540,63.0,0.001989067,1551
1550,63.0,0.001999192,1561
1560,63.0,0.002022283,1571
1570,63.0,0.00203303,1581
1580,63.0,0.002045712,1591
1590,63.0,0.002055228,1601
1600,64.0,0.002065968,1611
1610,64.0,0.002076373,1621
1620,64.0,0.002086151,1631
1630,66.0,0.029609585,1641
1640,67.0,0.029634977,1651
1650,67.0,0.029649991,1661
1660,68.0,0.029658975,1671
1670,68.0,0.029667305,1681
1680,68.0,0.029675702,1691
1690,69.0,0.029683836,1701
1700,69.0,0.029693046,1711
1710,69.0,0.029701178,1721
1720,69.0,0.029710464,1731
1730,69.0,0.029719269,1741
1740,69.0,0.029726999,1751
1750,69.0,0.029746638,1761
1760,69.0,0.029755699,1771
1770,69.0,0.029764425,1781
1780,69.0,0.029772342,1791
1790,69.0,0.029781104,1801
1800,69.0,0.02979025,1811
1810,69.0,0.029803757,1821
1820,69.0,0.029812286,1831
1830,69.0,0.029820883,1841
1840,69.0,0.029829605,1851
1850,69.0,0.02983902,1861
1860,69.0,0.029849454,1871
1870,69.0,0.029858033,1881
1880,69.0,0.029867285,1891
1890,69.0,0.029877777,1901
1900,69.0,0.02988581,1911
1910,69.0,0.029893954,1921
1920,69.0,0.029902778,1931
1930,69.0,0.02991039,1941
1940,69.0,0.029918725,1951
1950,69.0,0.029931697,1961
1960,69.0,0.029940893,1971
1970,69.0,0.029948639,1981
1980,70.0,0.029956978,1991
1990,70.0,0.029964728,2001
2000,70.0,0.029972643,2011
2010,70.0,0.029980209,2021
2020,71.0,0.02998867,2031
2030,71.0,0.029996573,2041
2040,71.0,0.030004793,2051
2050,71.0,0.030012591,2061
2060,71.0,0.030020345,2071
2070,71.0,0.03002787,2081
2080,71.0,0.030035592,2091
2090,71.0,0.030043473,2101
2100,71.0,0.030051073,2111
2110,71.0,0.030058943,2121
2120,71.0,0.030066903,2131
2130,71.0,0.030074748,2141
2140,71.0,0.030092488,2151
2150,71.0,0.030100595,2161
2160,71.0,0.03010912,2171
2170,74.0,0.030117135,2181
2180,74.0,0.030124949,2191
2190,76.0,0.030131997,2201
2200,76.0,0.030138966,2211
2210,76.0,0.030145575,2221
2220,76.0,0.030152094,2231
2230,76.0,0.030158661,2241
2240,76.0,0.030165076,2251
2250,76.0,0.030172033,2261
2260,76.0,0.030181421,2271
2270,76.0,0.030192235,2281
2280,76.0,0.03019982,2291
2290,76.0,0.030207694,2301
2300,77.0,0.030221401,2311
2310,77.0,0.03023253,2321
2320,77.0,0.030244055,2331
2330,78.0,0.030258059,2341
2340,78.0,0.030271427,2351
2350,78.0,0.030282434,2361
2360,78.0,0.030293964,2371
2370,78.0,0.030304548,2381
2380,78.0,0.030315162,2391
2390,78.0,0.030326503,2401
2400,78.0,0.030337368,2411
2410,78.0,0.030348173,2421
2420,78.0,0.030358063,2431
2430,79.0,0.030368094,2441
2440,79.0,0.030378652,2451
2450,79.0,0.030390376,2461
2460,83.0,0.030401244,2471
2470,83.0,0.030410544,2481
2480,83.0,0.030422359,2491
2490,83.0,0.030430293,2501
2500,83.0,0.030439136,2511
2510,83.0,0.030448953,2521
2520,83.0,0.030456656,2531
2530,83.0,0.030464974,2541
2540,84.0,0.030472644,2551
2550,85.0,0.030480994,2561
2560,85.0,0.030489469,2571
2570,86.0,0.030497751,2581
2580,86.0,0.03050615,2591
2590,86.0,0.030513771,2601
2600,86.0,0.030521815,2611
