iterations,fitness,time,fevals
0,11.0,1.99379999999e-05,11
10,15.0,3.1758e-05,21
20,16.0,4.31830000001e-05,31
30,14.0,5.2156e-05,41
40,13.0,5.97089999999e-05,51
50,15.0,6.81589999998e-05,61
60,15.0,7.63239999997e-05,71
70,15.0,8.46599999995e-05,81
80,15.0,9.08919999996e-05,91
90,15.0,9.93839999996e-05,101
100,15.0,0.00010797,111
110,15.0,0.000114180999999,121
120,15.0,0.000121093,131
130,15.0,0.000126850999999,141
140,15.0,0.000132866999999,151
150,15.0,0.000139010999999,161
160,15.0,0.000145928,171
170,15.0,0.000153203,181
180,16.0,0.000159830999999,191
190,16.0,0.000165704999999,201
200,16.0,0.000173199999999,211
210,16.0,0.000180630999999,221
220,16.0,0.000187072999999,231
230,16.0,0.000192659999999,241
240,16.0,0.000198338999999,251
250,16.0,0.000204830999999,261
260,18.0,0.000211565999999,271
270,21.0,0.000219832999999,281
280,25.0,0.000226338999999,291
290,25.0,0.000233605999999,301
300,25.0,0.000240504999999,311
310,25.0,0.000249737999999,321
320,25.0,0.000258466999999,331
330,25.0,0.000268998999999,341
340,26.0,0.000276025999999,351
350,28.0,0.000283608999999,361
360,28.0,0.000291362999999,371
370,28.0,0.000307983999999,381
380,28.0,0.000314687999999,391
390,28.0,0.000322793999999,401
400,28.0,0.000330243999999,411
410,28.0,0.000337728999999,421
420,28.0,0.000345691999999,431
430,28.0,0.000353370999999,441
440,28.0,0.000361090999999,451
450,28.0,0.000369775999999,461
460,28.0,0.000378968999999,471
470,28.0,0.000387237999999,481
480,28.0,0.000395755999999,491
490,28.0,0.000403446999999,501
500,28.0,0.000413268999999,511
510,28.0,0.000421269999999,521
520,29.0,0.000428843999999,531
530,29.0,0.000436405999999,541
540,29.0,0.000444133999999,551
550,29.0,0.000450694999999,561
560,32.0,0.000458113999999,571
570,32.0,0.000467796999999,581
580,32.0,0.000474793999999,591
590,32.0,0.000482748999999,601
600,32.0,0.000489865999999,611
610,33.0,0.000496887999999,621
620,33.0,0.000504263999999,631
630,33.0,0.000512041999999,641
640,34.0,0.000519267999999,651
650,34.0,0.000527050999999,661
660,34.0,0.000534345999999,671
670,34.0,0.000543718999999,681
680,34.0,0.000551406999999,691
690,34.0,0.000559115999999,701
700,34.0,0.000565888999999,711
710,34.0,0.000572042999999,721
720,35.0,0.000580196999999,731
730,35.0,0.000589067999999,741
740,35.0,0.000596044999999,751
750,35.0,0.000604548999999,761
760,35.0,0.000610982999999,771
770,35.0,0.000629906999999,781
780,36.0,0.000636938999999,791
790,36.0,0.000644637999999,801
800,37.0,0.000651001999999,811
810,37.0,0.000656443999999,821
820,37.0,0.000662637999999,831
830,37.0,0.000668524999999,841
840,37.0,0.000674632999999,851
850,37.0,0.000682838999999,861
860,37.0,0.000691756999999,871
870,37.0,0.000700107999999,881
880,37.0,0.000710026999999,891
890,37.0,0.000717687999999,901
900,37.0,0.000724353999999,911
910,37.0,0.000730767999999,921
920,37.0,0.000737355999999,931
930,37.0,0.000744709999998,941
940,37.0,0.000751244999998,951
950,37.0,0.000757480999999,961
960,37.0,0.000764297999999,971
970,37.0,0.000778222999999,981
980,37.0,0.000784760999998,991
990,37.0,0.000791755999999,1001
1000,37.0,0.000798141999999,1011
1010,37.0,0.000804064999999,1021
1020,37.0,0.000810750999999,1031
1030,37.0,0.000817461999999,1041
1040,39.0,0.000824879999999,1051
1050,39.0,0.000831697999999,1061
1060,39.0,0.000839849999999,1071
1070,39.0,0.000846815999999,1081
1080,39.0,0.000853223999999,1091
1090,39.0,0.000859527999999,1101
1100,40.0,0.000866098999998,1111
1110,40.0,0.000872431999998,1121
1120,40.0,0.000880732999998,1131
1130,40.0,0.000888835999999,1141
1140,40.0,0.000896547999998,1151
1150,40.0,0.000905765999998,1161
1160,40.0,0.000915679999999,1171
1170,40.0,0.000938046999999,1181
1180,40.0,0.000945249999999,1191
1190,40.0,0.000952126999999,1201
1200,40.0,0.000958699999999,1211
1210,40.0,0.000966602999999,1221
1220,40.0,0.000973596999999,1231
1230,40.0,0.000979810999999,1241
1240,40.0,0.000986700999999,1251
1250,40.0,0.000994993999999,1261
1260,40.0,0.001005419,1271
1270,40.0,0.001012146,1281
1280,44.0,0.0010193,1291
1290,44.0,0.001027677,1301
1300,44.0,0.001036836,1311
1310,45.0,0.001045857,1321
1320,45.0,0.00105589,1331
1330,45.0,0.001063519,1341
1340,45.0,0.001070005,1351
1350,45.0,0.001077888,1361
1360,45.0,0.001086148,1371
1370,45.0,0.001096802,1381
1380,46.0,0.001102887,1391
1390,52.0,0.001110854,1401
1400,52.0,0.001153005,1411
1410,52.0,0.001172788,1421
1420,52.0,0.001181991,1431
1430,53.0,0.00119095,1441
1440,53.0,0.001198171,1451
1450,53.0,0.001205109,1461
1460,53.0,0.001213301,1471
1470,53.0,0.001221685,1481
1480,53.0,0.00122773,1491
1490,53.0,0.001235306,1501
1500,53.0,0.00124293,1511
1510,53.0,0.001249899,1521
1520,53.0,0.001256515,1531
1530,53.0,0.001263127,1541
1540,55.0,0.001272417,1551
1550,61.0,0.001279096,1561
1560,61.0,0.001286014,1571
1570,61.0,0.001304523,1581
1580,62.0,0.001313978,1591
1590,62.0,0.001324165,1601
1600,62.0,0.001331995,1611
1610,62.0,0.001339278,1621
1620,63.0,0.001345532,1631
1630,64.0,0.001351895,1641
1640,64.0,0.00135773,1651
1650,64.0,0.001363191,1661
1660,64.0,0.001369683,1671
1670,64.0,0.00137566,1681
1680,67.0,0.001383464,1691
1690,68.0,0.001391779,1701
1700,68.0,0.001401456,1711
1710,69.0,0.001410089,1721
1720,69.0,0.001419986,1731
1730,69.0,0.00142795,1741
1740,70.0,0.001433506,1751
1750,71.0,0.001440284,1761
1760,71.0,0.001446363,1771
1770,71.0,0.00145804,1781
1780,71.0,0.00146479,1791
1790,71.0,0.001471305,1801
1800,71.0,0.001477281,1811
1810,71.0,0.00148596,1821
1820,71.0,0.001496146,1831
1830,71.0,0.001503249,1841
1840,71.0,0.001511696,1851
1850,72.0,0.00161133,1861
1860,72.0,0.001621411,1871
1870,72.0,0.001633942,1881
1880,72.0,0.001641746,1891
1890,72.0,0.001649075,1901
1900,72.0,0.001655927,1911
1910,73.0,0.001663132,1921
1920,73.0,0.001669622,1931
1930,73.0,0.001676395,1941
1940,73.0,0.001682892,1951
1950,73.0,0.001689555,1961
1960,73.0,0.001697302,1971
1970,73.0,0.001718183,1981
1980,75.0,0.001726575,1991
1990,75.0,0.0017349,2001
2000,75.0,0.001741726,2011
2010,75.0,0.001749609,2021
2020,75.0,0.001760122,2031
2030,75.0,0.001767003,2041
2040,75.0,0.00177447,2051
2050,75.0,0.001783003,2061
2060,75.0,0.001789591,2071
2070,75.0,0.001798563,2081
2080,75.0,0.001804898,2091
2090,75.0,0.001812304,2101
2100,75.0,0.001819262,2111
2110,75.0,0.001826102,2121
2120,75.0,0.001833369,2131
2130,75.0,0.001839624,2141
2140,75.0,0.001845775,2151
2150,75.0,0.001852116,2161
2160,75.0,0.001858443,2171
2170,75.0,0.001867714,2181
2180,75.0,0.001874684,2191
2190,75.0,0.00188039,2201
2200,76.0,0.001889275,2211
2210,76.0,0.001902245,2221
2220,76.0,0.001909103,2231
2230,76.0,0.001916136,2241
2240,76.0,0.001922419,2251
2250,76.0,0.001929201,2261
2260,76.0,0.001935716,2271
2270,76.0,0.001942092,2281
2280,76.0,0.001950158,2291
2290,76.0,0.001956359,2301
2300,76.0,0.001962176,2311
2310,76.0,0.001970166,2321
2320,76.0,0.001980571,2331
2330,76.0,0.001989833,2341
2340,76.0,0.001998077,2351
2350,76.0,0.002004557,2361
2360,76.0,0.002010874,2371
2370,76.0,0.002023374,2381
2380,76.0,0.002033065,2391
2390,76.0,0.002039194,2401
2400,76.0,0.002044897,2411
2410,76.0,0.002051111,2421
2420,76.0,0.002064259,2431
2430,76.0,0.002070408,2441
2440,76.0,0.002078904,2451
2450,76.0,0.002086378,2461
2460,76.0,0.002092915,2471
2470,76.0,0.002100506,2481
2480,76.0,0.00210763,2491
2490,76.0,0.002115928,2501
2500,76.0,0.002126656,2511
2510,76.0,0.002134729,2521
2520,76.0,0.002141219,2531
2530,76.0,0.002149347,2541
2540,76.0,0.00215608,2551
2550,76.0,0.002164004,2561
2560,77.0,0.002172732,2571
2570,77.0,0.002183792,2581
2580,77.0,0.002189846,2591
2590,77.0,0.00219964,2601
2600,77.0,0.002207872,2611
2610,77.0,0.002215969,2621
2620,77.0,0.002227117,2631
2630,77.0,0.002237524,2641
2640,77.0,0.002244184,2651
2650,77.0,0.002251428,2661
2660,77.0,0.00225771,2671
2670,77.0,0.002264871,2681
2680,77.0,0.002274599,2691
2690,77.0,0.002281385,2701
2700,77.0,0.002289577,2711
2710,77.0,0.002297017,2721
2720,77.0,0.002305309,2731
2730,77.0,0.002313709,2741
2740,77.0,0.002320555,2751
2750,77.0,0.00232692,2761
2760,77.0,0.002334156,2771
2770,77.0,0.002357157,2781
2780,77.0,0.002367228,2791
