iterations,fitness,time,fevals
0,531.0,0.003069666,430
10,534.0,0.00461321,764
20,539.0,0.00601546,1108
30,530.0,0.007739141,1447
40,531.0,0.009715664,1783
50,533.0,0.011924013,2112
60,523.0,0.013942355,2462
70,537.0,0.015873072,2794
80,537.0,0.017739908,3130
90,535.0,0.019761975,3449
100,533.0,0.021543783,3784
110,531.0,0.023497577,4118
120,537.0,0.025259457,4451
130,539.0,0.02703021,4774
140,529.0,0.028964203,5090
150,539.0,0.030824464,5431
160,531.0,0.032773409,5761
170,527.0,0.03455283,6110
180,533.0,0.036530816,6454
190,541.0,0.038347892,6780
200,539.0,0.040379873,7107
210,537.0,0.042086759,7444
220,545.0,0.043920237,7789
230,541.0,0.045777519,8123
240,543.0,0.047311167,8465
250,539.0,0.049178668,8794
260,541.0,0.051070701,9118
270,541.0,0.052750944,9451
280,543.0,0.054884956,9793
290,545.0,0.056926219,10137
300,543.0,0.058382414,10474
310,543.0,0.05991934,10809
320,545.0,0.061767407,11140
330,545.0,0.063407343,11475
340,547.0,0.065140886,11814
350,547.0,0.067076841,12145
360,547.0,0.068873272,12465
370,545.0,0.070569134,12801
380,545.0,0.072552153,13130
390,547.0,0.074088858,13467
400,547.0,0.07558658,13799
410,551.0,0.077263627,14146
420,553.0,0.078771115,14484
430,553.0,0.080607548,14825
440,555.0,0.082190876,15163
450,557.0,0.083796975,15485
460,561.0,0.085679312,15831
470,555.0,0.087463279,16170
480,555.0,0.088872698,16504
490,553.0,0.090353922,16832
500,557.0,0.091967014,17159
510,563.0,0.096733789,17497
520,561.0,0.098614614,17837
530,561.0,0.100185948,18170
540,559.0,0.102540453,18516
550,557.0,0.104057604,18863
560,563.0,0.105684289,19197
570,567.0,0.107213815,19538
580,565.0,0.109499308,19872
590,569.0,0.11118901,20208
600,565.0,0.113032587,20544
610,567.0,0.114860659,20870
620,565.0,0.116910942,21201
630,569.0,0.118789842,21544
640,567.0,0.120661763,21884
650,569.0,0.122333953,22221
660,569.0,0.124456568,22553
670,569.0,0.12664772,22890
680,569.0,0.128750573,23233
690,571.0,0.13069469,23578
700,569.0,0.13264797,23912
710,569.0,0.134743126,24249
720,571.0,0.137011373,24567
730,571.0,0.139215403,24906
740,573.0,0.141616014,25236
750,573.0,0.143931168,25566
760,577.0,0.146970792,25900
770,571.0,0.149022758,26239
780,569.0,0.150291727,26573
790,567.0,0.152184212,26910
800,571.0,0.154060473,27249
810,573.0,0.155867565,27588
820,575.0,0.157672716,27909
830,575.0,0.159491547,28241
840,575.0,0.160933612,28582
850,571.0,0.162992935,28910
860,573.0,0.165042973,29251
870,571.0,0.166920465,29590
880,569.0,0.168980555,29930
890,567.0,0.170831023,30264
900,567.0,0.172886736,30595
910,569.0,0.174902861,30933
920,567.0,0.176681952,31264
930,567.0,0.178933047,31607
940,567.0,0.181123607,31949
950,571.0,0.183212512,32281
960,573.0,0.185221536,32612
970,571.0,0.187493641,32934
980,571.0,0.190516444,33271
990,571.0,0.192940596,33606
1000,570.0,0.195465974,33944
1010,568.0,0.197905262,34281
1020,568.0,0.200510575,34621
1030,570.0,0.202469054,34969
1040,569.0,0.204450875,35298
1050,568.0,0.20630193,35642
1060,567.0,0.208524297,35977
1070,567.0,0.210196761,36311
1080,569.0,0.21230316,36654
1090,571.0,0.214307609,36996
1100,571.0,0.216089433,37332
1110,573.0,0.218112042,37655
1120,569.0,0.219850816,37990
1130,569.0,0.221855942,38322
1140,565.0,0.223669324,38652
1150,567.0,0.231301399,38985
1160,569.0,0.234402383,39326
1170,569.0,0.243364895,39664
1180,571.0,0.245130835,39991
1190,571.0,0.247337762,40323
1200,569.0,0.249459178,40660
1210,571.0,0.251413283,40998
1220,573.0,0.25327303,41329
1230,575.0,0.25528105,41666
1240,575.0,0.257540008,41989
1250,575.0,0.259401207,42325
1260,574.0,0.261591153,42666
1270,578.0,0.263659243,43001
1280,577.0,0.265497816,43335
1290,580.0,0.26805106,43662
1300,579.0,0.270009461,43995
1310,577.0,0.272086848,44329
1320,577.0,0.274326715,44656
1330,576.0,0.276376849,44990
1340,578.0,0.278524659,45313
1350,572.0,0.280747067,45651
1360,573.0,0.282736794,45994
1370,573.0,0.284607082,46331
1380,573.0,0.286913779,46668
1390,577.0,0.289087722,47000
1400,577.0,0.29112557,47338
