iterations,fitness,time,fevals
0,555.0,7.896049133,1000
10,572.0,15.627068625,2100
20,595.0,23.06218318,3200
30,609.0,30.439490158,4300
40,636.0,37.461118979,5400
50,656.0,44.468445615,6500
60,677.0,51.302247624,7600
70,683.0,57.95460077,8700
80,697.0,64.664417079,9800
90,709.0,71.109549682,10900
100,725.0,77.460486332,12000
110,727.0,83.678552815,13100
120,739.0,89.878297117,14200
130,749.0,95.879879237,15300
140,758.0,101.86400659,16400
150,761.0,107.963691154,17500
160,761.0,113.755004858,18600
170,763.0,119.64951649,19700
180,761.0,125.368095496,20800
190,769.0,131.30328647,21900
200,779.0,137.059906612,23000
210,771.0,143.062635255,24100
220,783.0,148.873163183,25200
230,771.0,154.772798409,26300
240,778.0,160.536874136,27400
250,795.0,166.418648504,28500
260,787.0,172.108201002,29600
270,783.0,177.846058665,30700
280,782.0,183.712223609,31800
290,793.0,189.498395774,32900
300,783.0,195.174186237,34000
310,781.0,201.045370983,35100
320,791.0,206.864506749,36200
330,784.0,212.648512341,37300
340,783.0,218.327178885,38400
350,785.0,223.960820605,39500
360,791.0,229.744241393,40600
370,801.0,235.625972112,41700
380,785.0,241.458569223,42800
390,781.0,247.18679101,43900
400,791.0,253.175602162,45000
410,803.0,258.944574262,46100
420,791.0,264.695024635,47200
430,789.0,270.525217232,48300
440,795.0,276.336096799,49400
450,789.0,282.034778568,50500
460,807.0,287.801327099,51600
470,793.0,293.632118662,52700
480,803.0,299.411166098,53800
490,799.0,305.073256856,54900
500,795.0,310.923962325,56000
510,796.0,316.636870589,57100
520,805.0,322.406126684,58200
530,798.0,328.108048309,59300
540,816.0,333.820799691,60400
550,810.0,339.467432935,61500
560,796.0,345.173217386,62600
570,800.0,351.073732912,63700
580,820.0,356.652739846,64800
590,814.0,362.379689255,65900
600,808.0,368.109510948,67000
610,814.0,373.690975327,68100
620,822.0,379.365498071,69200
630,804.0,385.127804533,70300
640,804.0,390.779498807,71400
650,822.0,396.50698564,72500
660,820.0,402.078592229,73600
670,804.0,407.920918495,74700
680,818.0,413.557971854,75800
690,816.0,419.282703611,76900
700,808.0,424.973802151,78000
710,812.0,430.70066589,79100
720,816.0,436.345764184,80200
730,815.0,441.97871684,81300
740,802.0,447.788348527,82400
750,818.0,453.355319504,83500
760,818.0,458.881327901,84600
770,816.0,464.636418199,85700
780,810.0,470.263614715,86800
790,814.0,475.910980043,87900
800,830.0,481.633649654,89000
810,812.0,487.275186788,90100
820,816.0,492.864832135,91200
830,812.0,498.579565003,92300
840,814.0,504.212426123,93400
850,812.0,509.883215011,94500
860,818.0,515.487327013,95600
870,818.0,521.058784736,96700
880,820.0,526.824417437,97800
890,818.0,532.471470497,98900
900,810.0,538.41901624,100000
910,816.0,544.073604297,101100
920,822.0,549.892563945,102200
930,826.0,555.468577381,103300
940,822.0,561.177881187,104400
950,826.0,566.701433205,105500
960,822.0,572.396657977,106600
970,822.0,578.090144128,107700
980,824.0,583.697982436,108800
990,820.0,589.429358446,109900
1000,826.0,595.111862997,111000
1010,828.0,600.804303436,112100
1020,820.0,606.502755915,113200
1030,823.0,612.13689807,114300
1040,824.0,617.787966477,115400
1050,824.0,623.576121361,116500
1060,832.0,629.331412976,117600
1070,830.0,634.904686486,118700
1080,832.0,640.554633764,119800
1090,816.0,646.373736084,120900
1100,820.0,652.038466175,122000
1110,816.0,657.813876802,123100
1120,818.0,663.592757879,124200
1130,822.0,669.258657763,125300
1140,808.0,675.108088013,126400
1150,820.0,681.009204605,127500
1160,825.0,686.575350457,128600
1170,808.0,692.38109933,129700
1180,828.0,698.103439877,130800
1190,826.0,703.763761231,131900
1200,804.0,709.56207376,133000
1210,826.0,715.370723363,134100
1220,824.0,721.234520698,135200
1230,816.0,726.911101332,136300
1240,820.0,732.585548932,137400
1250,820.0,738.332380694,138500
1260,818.0,744.056717334,139600
1270,826.0,749.740902998,140700
1280,828.0,755.413439278,141800
1290,820.0,761.09674219,142900
1300,816.0,766.888473195,144000
1310,812.0,772.69224372,145100
1320,815.0,778.635327852,146200
1330,812.0,784.35387172,147300
1340,810.0,790.212144232,148400
1350,830.0,795.83741438,149500
1360,816.0,801.619582224,150600
1370,826.0,807.271538465,151700
1380,828.0,813.070141328,152800
1390,826.0,818.732833247,153900
1400,828.0,824.414008783,155000
1410,824.0,829.923198506,156100
1420,820.0,835.679528191,157200
1430,822.0,841.290869891,158300
1440,830.0,846.950085739,159400
1450,822.0,852.713249834,160500
1460,820.0,858.537922192,161600
1470,812.0,864.207035529,162700
1480,820.0,870.010163474,163800
1490,834.0,875.703255343,164900
1500,829.0,881.296300131,166000
1510,826.0,887.043681975,167100
1520,830.0,892.705235024,168200
1530,820.0,898.465931653,169300
1540,828.0,904.057056614,170400
1550,826.0,909.844168257,171500
1560,834.0,915.512169788,172600
1570,840.0,921.230110877,173700
1580,824.0,926.955315033,174800
1590,826.0,932.623078377,175900
1600,828.0,938.18544176,177000
1610,824.0,943.810807946,178100
1620,824.0,949.508548381,179200
1630,840.0,955.171586278,180300
1640,838.0,960.770578765,181400
1650,822.0,966.425583548,182500
1660,822.0,972.07915588,183600
1670,822.0,977.776058159,184700
1680,824.0,983.395090883,185800
1690,810.0,989.035892619,186900
1700,826.0,994.851554403,188000
1710,824.0,1000.57782954,189100
1720,824.0,1006.19248775,190200
1730,816.0,1012.06128103,191300
1740,824.0,1017.70258299,192400
1750,816.0,1023.38503363,193500
1760,824.0,1029.03309325,194600
1770,826.0,1034.68213916,195700
1780,832.0,1040.3228134,196800
1790,816.0,1045.92153335,197900
1800,820.0,1051.64802438,199000
1810,818.0,1057.27115634,200100
1820,824.0,1063.09189857,201200
1830,814.0,1068.84685219,202300
1840,810.0,1074.71031666,203400
1850,814.0,1080.48534795,204500
1860,832.0,1086.26416888,205600
1870,830.0,1091.88083103,206700
1880,828.0,1097.62069774,207800
1890,832.0,1103.27773773,208900
1900,824.0,1109.05369819,210000
1910,828.0,1114.77626403,211100
1920,846.0,1120.44598067,212200
1930,834.0,1126.11691251,213300
1940,828.0,1131.91190869,214400
1950,826.0,1137.60582416,215500
1960,826.0,1143.22270732,216600
1970,824.0,1148.84789569,217700
1980,820.0,1154.62756295,218800
1990,822.0,1160.23543471,219900
2000,816.0,1165.91970811,221000
2010,824.0,1171.64941782,222100
2020,816.0,1177.29749855,223200
2030,812.0,1183.10830994,224300
2040,814.0,1188.80274516,225400
2050,814.0,1194.59929807,226500
2060,834.0,1200.38136116,227600
2070,816.0,1206.12750078,228700
2080,816.0,1211.82077991,229800
2090,818.0,1217.39764395,230900
2100,826.0,1223.01185819,232000
2110,814.0,1228.72525367,233100
2120,830.0,1234.37634884,234200
2130,830.0,1239.95161653,235300
2140,834.0,1245.6271807,236400
2150,824.0,1251.24034906,237500
2160,810.0,1256.95085717,238600
2170,810.0,1262.7705918,239700
2180,822.0,1268.41672752,240800
2190,822.0,1274.05639831,241900
2200,826.0,1279.63484367,243000
2210,832.0,1285.26458021,244100
2220,824.0,1291.08905777,245200
2230,830.0,1296.68778541,246300
2240,818.0,1302.46987177,247400
2250,824.0,1308.06492011,248500
2260,820.0,1313.81163091,249600
2270,816.0,1319.5524126,250700
2280,824.0,1325.19570426,251800
2290,820.0,1330.94557768,252900
2300,826.0,1336.71097048,254000
2310,822.0,1342.28569066,255100
2320,834.0,1348.06651336,256200
2330,814.0,1353.67230178,257300
2340,816.0,1359.4430407,258400
2350,812.0,1365.21641754,259500
2360,818.0,1370.842548,260600
2370,828.0,1376.61389382,261700
2380,832.0,1382.22594026,262800
2390,833.0,1387.90038773,263900
