iterations,fitness,time,fevals
0,480.0,3.4816e-05,11
10,482.0,5.98980000001e-05,21
20,486.0,8.44010000001e-05,31
30,486.0,0.000105861,41
40,488.0,0.000154284,51
50,492.0,0.00017809,61
60,494.0,0.000199549,71
70,494.0,0.000219998,81
80,496.0,0.000242759,91
90,496.0,0.000325997,101
100,496.0,0.000358472,111
110,496.0,0.000382335,121
120,498.0,0.000403415,131
130,508.0,0.000423613,141
140,510.0,0.000445279,151
150,516.0,0.000471114,161
160,518.0,0.000491835,171
170,520.0,0.000513111,181
180,520.0,0.000535558,191
190,520.0,0.000555344,201
200,522.0,0.000578967,211
210,530.0,0.000598451,221
220,530.0,0.00061822,231
230,534.0,0.000639388,241
240,536.0,0.000666984,251
250,538.0,0.000707055,261
260,542.0,0.000729848,271
270,542.0,0.000748487,281
280,546.0,0.00076879,291
290,550.0,0.000791803,301
300,558.0,0.000819542,311
310,560.0,0.000848015,321
320,562.0,0.000872508,331
330,566.0,0.000902786,341
340,572.0,0.000931006,351
350,572.0,0.000958882,361
360,572.0,0.000986076,371
370,572.0,0.001013175,381
380,574.0,0.001043006,391
390,578.0,0.001070937,401
400,578.0,0.001097176,411
410,578.0,0.001127806,421
420,580.0,0.001152667,431
430,582.0,0.001196318,441
440,586.0,0.001223098,451
450,586.0,0.001246905,461
460,590.0,0.001291314,471
470,592.0,0.001317686,481
480,596.0,0.001340214,491
490,596.0,0.001366577,501
500,596.0,0.001393818,511
510,596.0,0.001430984,521
520,598.0,0.001463034,531
530,598.0,0.001495265,541
540,602.0,0.001521211,551
550,602.0,0.001544784,561
560,606.0,0.001571502,571
570,608.0,0.001596304,581
580,608.0,0.001709073,591
590,608.0,0.001754673,601
600,608.0,0.001789099,611
610,608.0,0.001815591,621
620,608.0,0.001844957,631
630,608.0,0.001870212,641
640,610.0,0.001895689,651
650,614.0,0.001958762,661
660,614.0,0.001989075,671
670,614.0,0.002031274,681
680,616.0,0.002055914,691
690,618.0,0.002082336,701
700,620.0,0.00210869,711
710,620.0,0.002131105,721
720,622.0,0.002161862,731
730,622.0,0.002184951,741
740,622.0,0.002207926,751
750,622.0,0.002229913,761
760,622.0,0.002255139,771
770,624.0,0.002280428,781
780,624.0,0.002310533,791
790,628.0,0.002335401,801
800,628.0,0.002356726,811
810,630.0,0.002377884,821
