iterations,fitness,time,fevals
0,519.0,2.62899999999e-05,11
10,519.0,4.87649999998e-05,21
20,519.0,8.23799999998e-05,31
30,515.0,0.000104408,41
40,517.0,0.000122817,51
50,521.0,0.00014234,61
60,523.0,0.000165089,71
70,523.0,0.000183211,81
80,527.0,0.00020387,91
90,531.0,0.00022692,101
100,533.0,0.000247459,111
110,533.0,0.00027144,121
120,537.0,0.000291706,131
130,537.0,0.00032963,141
140,539.0,0.00035582,151
150,543.0,0.000378993,161
160,543.0,0.000403128,171
170,545.0,0.000425968,181
180,545.0,0.000453555,191
190,551.0,0.000472324,201
200,555.0,0.000493442,211
210,559.0,0.000512016,221
220,563.0,0.00053807,231
230,563.0,0.000571734,241
240,567.0,0.000591983,251
250,569.0,0.000611346,261
260,571.0,0.000629129,271
270,573.0,0.000647959,281
280,575.0,0.000666842,291
290,577.0,0.000709114,301
300,579.0,0.000727191,311
310,581.0,0.000745207,321
320,581.0,0.000764199,331
330,583.0,0.000785376,341
340,583.0,0.000813226,351
350,589.0,0.000833973,361
360,589.0,0.000851804,371
370,591.0,0.000873316,381
380,595.0,0.000892943,391
390,601.0,0.000914408,401
400,601.0,0.000933289,411
410,601.0,0.000952621,421
420,603.0,0.000975091,431
430,607.0,0.000998238,441
440,607.0,0.001025982,451
450,607.0,0.001047831,461
460,609.0,0.001067298,471
470,611.0,0.001086908,481
480,611.0,0.001107071,491
490,613.0,0.001129232,501
500,615.0,0.001227945,511
510,615.0,0.001249603,521
520,615.0,0.001270509,531
530,617.0,0.001293072,541
540,621.0,0.001321986,551
550,621.0,0.001362248,561
560,627.0,0.001389773,571
570,629.0,0.001413792,581
580,629.0,0.001437315,591
590,629.0,0.001461127,601
600,629.0,0.001485768,611
610,631.0,0.001512309,621
620,631.0,0.001536526,631
630,637.0,0.001561601,641
640,637.0,0.001584088,651
650,639.0,0.001611724,661
660,639.0,0.001630135,671
670,639.0,0.001652756,681
680,641.0,0.001673399,691
690,643.0,0.001693735,701
700,643.0,0.001712015,711
710,645.0,0.001732548,721
720,645.0,0.001752809,731
730,645.0,0.001772517,741
740,645.0,0.00179291,751
750,645.0,0.001815951,761
760,645.0,0.001843165,771
770,649.0,0.001865462,781
780,651.0,0.001886639,791
790,651.0,0.001908269,801
800,653.0,0.001927776,811
810,653.0,0.001950329,821
820,653.0,0.001970695,831
830,653.0,0.001988008,841
840,653.0,0.002007977,851
850,653.0,0.002027147,861
860,653.0,0.002059125,871
870,655.0,0.00208261,881
880,657.0,0.002103774,891
890,657.0,0.002124996,901
900,657.0,0.002151428,911
910,657.0,0.002173822,921
920,657.0,0.002196668,931
930,657.0,0.00223048,941
940,657.0,0.002251514,951
950,661.0,0.002270618,961
960,661.0,0.002292507,971
970,663.0,0.002332595,981
980,663.0,0.002349675,991
990,665.0,0.002366199,1001
1000,665.0,0.002387192,1011
1010,667.0,0.002415111,1021
1020,667.0,0.002437303,1031
1030,669.0,0.002455763,1041
1040,673.0,0.002474394,1051
1050,673.0,0.002493941,1061
1060,673.0,0.002514003,1071
1070,677.0,0.002541123,1081
1080,677.0,0.002559832,1091
1090,677.0,0.002578838,1101
1100,677.0,0.00259937,1111
1110,677.0,0.002618416,1121
1120,677.0,0.002636369,1131
1130,679.0,0.002653042,1141
1140,683.0,0.002670066,1151
1150,683.0,0.002687949,1161
1160,685.0,0.00270516,1171
1170,687.0,0.002724516,1181
1180,687.0,0.002827755,1191
1190,687.0,0.002851307,1201
1200,687.0,0.002870332,1211
1210,687.0,0.002890548,1221
1220,687.0,0.002908748,1231
1230,689.0,0.002931649,1241
1240,689.0,0.00294881,1251
1250,689.0,0.003019661,1261
1260,689.0,0.003053852,1271
1270,691.0,0.003087064,1281
1280,691.0,0.003129074,1291
1290,691.0,0.003149591,1301
1300,691.0,0.003186309,1311
1310,691.0,0.003210788,1321
1320,691.0,0.003231623,1331
1330,691.0,0.003262344,1341
1340,693.0,0.003289569,1351
1350,693.0,0.0033116,1361
1360,695.0,0.003368341,1371
1370,695.0,0.003392235,1381
1380,697.0,0.003411812,1391
1390,699.0,0.003444912,1401
1400,701.0,0.00346696,1411
1410,703.0,0.003488295,1421
1420,703.0,0.003507038,1431
1430,703.0,0.003525084,1441
1440,705.0,0.003545642,1451
1450,705.0,0.003564335,1461
1460,707.0,0.003583555,1471
1470,707.0,0.003607253,1481
1480,707.0,0.003627323,1491
1490,707.0,0.003662501,1501
1500,709.0,0.003682153,1511
1510,711.0,0.003700984,1521
1520,713.0,0.003720828,1531
1530,715.0,0.003739634,1541
1540,715.0,0.003758937,1551
1550,715.0,0.003779647,1561
1560,715.0,0.003806156,1571
1570,715.0,0.003835952,1581
1580,717.0,0.003859328,1591
1590,719.0,0.003885467,1601
1600,719.0,0.003932404,1611
1610,719.0,0.003957481,1621
1620,719.0,0.003989109,1631
1630,719.0,0.004017646,1641
1640,719.0,0.004044622,1651
1650,721.0,0.004077489,1661
1660,721.0,0.004107973,1671
1670,721.0,0.004138265,1681
1680,721.0,0.004170586,1691
1690,721.0,0.004204503,1701
1700,721.0,0.004242998,1711
1710,721.0,0.004296213,1721
1720,721.0,0.004324954,1731
1730,723.0,0.004351439,1741
1740,723.0,0.004376565,1751
1750,723.0,0.004409794,1761
1760,723.0,0.004436652,1771
1770,725.0,0.004463197,1781
1780,725.0,0.00448734,1791
1790,725.0,0.004511016,1801
1800,725.0,0.00453263,1811
1810,727.0,0.004570777,1821
1820,727.0,0.004593707,1831
1830,727.0,0.004616394,1841
1840,727.0,0.004634897,1851
1850,729.0,0.004653151,1861
1860,729.0,0.004677012,1871
1870,729.0,0.004697386,1881
1880,729.0,0.004717367,1891
1890,729.0,0.004738168,1901
1900,731.0,0.004760406,1911
1910,731.0,0.00479398,1921
1920,733.0,0.004816926,1931
1930,733.0,0.004837659,1941
1940,733.0,0.004859853,1951
1950,735.0,0.004882909,1961
1960,735.0,0.004908189,1971
1970,735.0,0.004932738,1981
1980,735.0,0.00496026,1991
1990,735.0,0.004992546,2001
2000,737.0,0.005022079,2011
2010,737.0,0.005053107,2021
2020,737.0,0.005094668,2031
2030,737.0,0.005118204,2041
2040,739.0,0.005145331,2051
2050,739.0,0.00516896,2061
2060,739.0,0.005191935,2071
2070,741.0,0.005218053,2081
2080,741.0,0.005239783,2091
2090,741.0,0.005260443,2101
2100,741.0,0.005285051,2111
2110,741.0,0.005305663,2121
2120,741.0,0.005337444,2131
2130,741.0,0.005356848,2141
2140,741.0,0.005377076,2151
2150,743.0,0.005400422,2161
2160,743.0,0.005424532,2171
2170,743.0,0.005446429,2181
2180,743.0,0.005468082,2191
2190,743.0,0.005490064,2201
2200,745.0,0.005513074,2211
2210,745.0,0.005534727,2221
2220,747.0,0.005556752,2231
2230,747.0,0.005591653,2241
2240,747.0,0.005612914,2251
2250,747.0,0.005634539,2261
2260,749.0,0.00565825,2271
2270,749.0,0.005679628,2281
2280,749.0,0.00570608,2291
2290,753.0,0.005728308,2301
2300,753.0,0.00575053,2311
2310,753.0,0.005773693,2321
2320,755.0,0.005796476,2331
2330,755.0,0.005833808,2341
2340,755.0,0.0058547,2351
2350,755.0,0.005876057,2361
2360,755.0,0.005900175,2371
2370,755.0,0.005922473,2381
2380,755.0,0.005945673,2391
2390,755.0,0.00597125,2401
2400,755.0,0.005995335,2411
2410,755.0,0.006017295,2421
